,0
0,ACCESS-ESM1-5
1,AWI-ESM-1-1-LR
2,AWI-ESM-2-1-LR
3,BCC-CSM1-1
4,CCSM4
5,CESM2
6,CNRM-CM5
7,CNRM-CM6-1
8,COSMOS-ASO
9,CSIRO-Mk3-6-0
10,CSIRO-Mk3L-1-2
11,EC-EARTH-2-2
12,EC-Earth3-LR
13,FGOALS-f3-L
14,FGOALS-g2
15,FGOALS-g3
16,FGOALS-s2
17,GISS-E2-1-G
18,GISS-E2-R
19,HadGEM2-CC
20,HadGEM2-ES
21,HadGEM3-GC31-LL
22,INM-CM4-8
23,IPSL-CM5A-LR
24,IPSL-CM6A-LR
25,KCM1-2-2
26,MIROC-ES2L
27,MIROC-ESM
28,MPI-ESM-P
29,MPI-ESM1-2-LR
30,MRI-CGCM3
31,MRI-ESM2-0
32,NESM3
33,NorESM1-F
34,NorESM2-LM
35,UofT-CCSM-4
